Debt-to-income ratio,"<div>Debt-to-income, or DTI, ratio is a number used by mortgage lenders which is determined by the total of your debt expenses, plus your monthly housing payment, divided by your gross monthly income, and multiplied by 100. This helps lenders determine affordability based off of their available loan programs, and allows them to estimate how much you can afford to pay monthly for a mortgage.</div><div>Lenders typically look for borrowers who pay 28 percent, or less, of their total monthly income on housing, and less than 36 percent of their income on debt payments, according to  <a href=""https://www.investopedia.com/terms/t/twenty-eight-thirty-six-rule.asp"">Investopedia</a>. If either percentage is on the higher side, and you want to buy a home, you might need to adjust your budget.</div>"
Earnest money deposit (EMD),"<div>An earnest money deposit (EMD), sometimes referred to a “good faith deposit”, is the initial funds that a buyer is asked to put down once a seller accepts the buyer’s offer. It shows not only that the buyer is serious about buying, but that they are also willing to put their money where their mouth is. The amount of the EMD can vary between 1 to 5 percent of the sales price. The EMD is often held by an escrow company, or as otherwise provided for under the  <a href=""https://www.opendoor.com/w/blog/real-estate-terms-you-should-know#purchase-and-sale-agreement"">purchase and sale agreement</a> (PSA).</div>"
FHA loans,"<div>FHA loans are part of a group of loans that are insured by the federal government. This means that instead of actually lending money, the FHA insures banks and private lenders that they will cover losses they might incur in the event that the borrower does not repay the loan in full or timely. Read our blog post for more detailed information on  <a href=""https://www.opendoor.com/w/blog/what-is-an-fha-loan-and-how-does-it-work"">how FHA loans work</a>.</div>"
Multiple listing service (or MLS),"<div>An MLS is a database that allows real estate agent and broker members to access and add information about properties for sale in an area. When a home is listed for sale, it gets logged into the local MLS by a listing agent. Buyer’s agents often check the MLS to see what’s on the market and what similar homes have sold for. According to  <a href=""https://www.inman.com/2019/02/26/what-the-mls-landscape-will-look-like-in-2019/"">Inman.com</a>, there are over 600 MLS organizations in the United States.</div>"
Natural hazards disclosure (NHD) report,<div>A report required by most states that discloses if a property is located in an area that has a higher risk of natural hazards. The report is typically paid for by the seller and given to the buyer during escrow.</div><div>The following natural hazard zones are covered in a NHD report:<br><br></div><ul><li>Special flood hazard area</li><li>Area of potential flooding</li><li>Very high fire hazard severity zone</li><li>Wildland area that may contain substantial forest fire risk and hazards</li><li>Earthquake fault zone</li><li>Seismic hazard zone<br><br></li></ul>
Offer/counter offer,"<div>Buyers make a formal offer on the home they want to purchase. The offer can be the full list price, or what you and your agent deem a fair market value.</div><div>The buyer’s agent puts the offer in writing, asks you to sign it, and then submits it to the seller’s agent. The seller might immediately accept it, in which case it becomes the parties’ purchase contract, or may make what’s known as a counter offer. It’s the art of negotiation, recorded in paperwork. Read our blog post on  <a href=""https://www.opendoor.com/w/blog/how-to-determine-what-to-offer-on-a-house"">how to determine what to offer on a house</a>.</div>"
Preliminary report,"<div>A preliminary report reveals any issues with a title that need to be dealt with by the seller in order to deliver a clear title. It gives details such as ownership history, liens, and easements. The title company gathers this report by searching existing property records at the county recorder’s office.</div><div>This report is required for a title insurance company to issue a title insurance policy. Most lenders require borrowers to purchase title insurance coverage to protect their interest in a property. It’s customary in many areas for a seller to pay for this policy, although it is a negotiable item. Also see our  <a href=""https://www.opendoor.com/w/blog/what-is-a-preliminary-title-report"">blog post</a> for more details.</div>"
Proof of funds,"<div>When you make an offer, sellers will require you to submit proof of funds. If you’re buying a house with a mortgage, it shows them that you have the cash available for your down payment and closing costs. If you’re paying all cash, your proof of funds shows you actually have the money.</div><div>The following documents qualify as proof of funds:<br><br></div><ul><li>Original or online bank statements with bank letterhead</li><li>Copy of a money market account balance with bank’s logo or letterhead</li><li>Certified financial statements, such as an income or cash flow statement that’s been signed off on by an accountant</li><li>An open equity line of credit</li></ul>"
REALTOR®,"<div>An actively licensed real estate agent and REALTOR® are often used interchangeably, although not every real estate agent is a REALTOR®. A REALTOR® is a member of the  <a href=""https://www.nar.realtor/about-nar"">National Association of REALTORS®</a> (NAR).</div><div>A REALTOR® promises to uphold the Code of Ethics of the association and to hold each other accountable for when serving the public, customers, clients and each other, with a high standard of practice and care.</div><div><br></div>"
VA loan,"<div>A VA loan is a loan guaranteed by the government ( <a href=""https://www.va.gov/"">Department of Veteran Affairs</a>) and available to the military, active and retired, and even for some eligible spouses, at low-to-no-down payment scenarios with competitive rates and fees.</div>"
"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA)","<div><strong>Comprehensive Environmental Response, Compensation, and Liability Act (</strong> <a href=""https://www.epa.gov/superfund/superfund-cercla-overview""><strong>CERCLA</strong></a><strong>)</strong></div><div>Federal legislation passed in 1980 requiring owners of contaminated properties to bear the cleanup costs.</div><div><br></div>"
Equal Credit Opportunity Act (ECOA),"<div><strong>Equal Credit Opportunity Act (</strong> <a href=""https://en.wikipedia.org/wiki/Equal_Credit_Opportunity_Act""><strong>ECOA</strong></a><strong>)</strong></div><div>Federal legislation requiring lenders to make credit equally available without discrimination based on race, sex, color, religion, marital status, age, national origin, or receipt of income from public assistance.</div>"
Fair Housing Act of 1968,"<div>The term for Title VIII of the  <a href=""https://en.wikipedia.org/wiki/Civil_Rights_Act_of_1968"">Civil Rights Act of 1968</a> as amended, which prohibits discrimination based on race, color, sex, religion, national origin, handicaps, and familial status in the sale and rental of residential property.</div>"
Federal Home Loan Mortgage Corporation (FHLMC),"<div>A federally chartered corporation created to provide a secondary mortgage market for conventional loans ( <a href=""http://www.freddiemac.com/"">Freddie Mac</a>).</div>"
Federal National Mortgage Association (FNMA),"<div>“ <a href=""http://www.fanniemae.com/"">Fannie Mae</a>” is the popular name for this federally chartered corporation, which creates a secondary market for existing mortgages. FNMA does not loan money directly, but rather buys DVA, FHA, and conventional loans.</div>"
Government National Mortgage Association (GNMA),"<div>“ <a href=""https://www.ginniemae.gov/"">Ginnie Mae</a>,” a federal agency and division of HUD that operates special assistance aspects of federally aided housing programs and participates in the secondary market through its mortgage-backed Real Estate Settlement Procedures Act ( <a href=""https://www.investopedia.com/terms/r/real-estate-settlement-procedures-act-respa.asp"">RESPA</a>)</div><div>The federal law ensuring that the buyer and seller in a real estate transaction have knowledge of all the settlement costs when the purchase of a one to four-family residential dwelling is financed by a federally related mortgage loan. Prohibits kickbacks.</div>"
Abandonment,<div>The voluntary and permanent cessation of use or enjoyment with no intention to resume or reclaim one’s possession or interest. May pertain to an easement of a property.<div/>
Abstract of title,<div>A condensed version of the history of a title to a particular parcel of real estate as recorded in the county clerk’s records; consists of a summary of the original grant and all subsequent conveyances and encumbrances affecting the property.<div/>
Abutting,"<div>The joining, reaching, or touching of adjoining land. Abutting parcels of land have a common boundary.<div/>"
Accelerated depreciation,<div>A method of calculating for tax purposes the depreciation of income property at a faster rate than would be achieved using the straight-line method. Any depreciation taken in excess of what would be claimed using the straight-line rate is subject to recapture as ordinary income to the extent of the gain resulting from the sale.<div/>
Acceleration clause,"<div>A provision in a written mortgage, note, bond, or conditional sales contract that in the event of default, the whole amount of the principal and the interest may be declared due and payable at once.<div/>"
Accession,<div>Title to improvements or additions to real property is acquired as a result of the accretion of alluvial deposits along the banks of streams or as a result of the annexation of fixtures.<div/>
Accretion,"<div>An increase or addition to land by the deposit of sand or soil washed up naturally from a river, lake, or sea.<div/>"
Accrued depreciation,<div>The actual depreciation that has occurred to a property at any given date; the difference between the cost of replacement new (as of the date of the appraisal) and the present appraised value.<div/>
Acknowledgment,<div>A declaration made by a person to a notary public or other public official authorized to take acknowledgments that an instrument was executed by him or her as a free and voluntary act.<div/>
Actual eviction,"<div>The result of legal action originated by a lessor, by which a defaulted tenant is physically ousted from the rental property pursuant to a court order.<div/>"
Actual notice,<div>Express information or fact; that which is known; actual knowledge.<div/>
Administrator,<div>The party appointed by the county court to settle the estate of a deceased person who died without leaving a will.<div/>
Ad Valorem tax,<div>A tax levied according to value; generally used to refer to real estate tax.<div/>
Adverse Possession,"<div>The actual, visible, hostile, notorious, exclusive, and continuous possession of another’s land under a claim to title. Possession for a statutory period may be a means of acquiring title.<div/>"
Affidavit,<div>A written statement signed and sworn to before a person authorized to administer an oath.<div/>
Agent,"<div>One who represents or has the power to act for another person (called the principal). The authorization may be express, implied, or apparent. A fiduciary relationship is created under the law of agency when a property owner, as the principal, executes a listing agreement or management contract authorizing a licensed real estate broker to be her or his agent.<div/>"
Agreement of sale,"<div>A written agreement by which the purchaser agrees to buy certain real estate and the seller agrees to sell, on the terms and conditions set forth in the agreement.<div/>"
Air lot,"<div>A designated airspace over a piece of land. Air lots, like surface property, may be transferred.<div/>"
Air rights,<div>The right to use the open space above one’s property. It can be sold to build a skywalk or for a utility company to erect power lines.<div/>
Alienation,"<div>The act of transferring property to another. Alienation may be voluntary, such as by sale, or involuntary, such as through eminent domain.<div/>"
Alienation clause,"<div>Clause in a mortgage instrument that does not all the borrower to sell (without lender approval) on assumption or contract-for-deed. If an attempt is made to do so without prior approval, all of the mortgaged balance becomes due on the sale of the property.<div/>"
Alluvion,<div>The actual soil increase resulting from accretion.<div/>
Amendments,<div>Changes to previously approved and adopted written agreements are amendments.<div/>
Amenities,"<div>Neighborhood facilities and services that enhance a property’s value. They are always outside of the property. Swimming pools, three-car garages, decks, etc., that are on the property are called features.<div/>"
Americans with Disabilities Act (ADA),"<div>A federal law, effective in 1992, designed to eliminate discrimination against individuals with disabilities.<div/>"
Amortization,"<div>The liquidation of a financial burden by installment payments, which include principal and interest. This is the process of combining both interest and principal in payments, rather than simply paying off interest at the start. This allows you to build more equity in the home early on.<div/>"
Amortized loan,<div>A loan in which the principal and interest are payable in monthly or other periodic installments over the term of the loan.<div/>
Anticipation,<div>An appraising principle created by the expectation of certain future events causing values to either increase or decrease.<div/>
Antitrust laws,<div>The laws designed to preserve the free enterprise of the open marketplace by making illegal certain private conspiracies and combinations formed to minimize competition. Violation of antitrust laws in the real estate business generally involves either price fixing (brokers conspiring to set fixed compensation rates) or allocation of customers or markets (brokers agreeing to limit their trades or dealings to certain areas or properties).<div/>
Appraisal,"<div>An estimate of the quantity, quality, or value of something. The process through which conclusions about property value are obtained; also refers to the report that sets forth the process of estimation and conclusion of value.<div/>"
Appraised value,<div>An estimate of a property’s present worth.<div/>
Appreciation,"<div>An increase in the worth or value of a property, due to economic or related causes, which may prove to be either temporary or permanent.<div/>"
Appurtenant,<div>Belonging to; incident to; annexed to.<div/>
Arbitrage,<div>The simultaneous purchase and sale of a security with the purpose of obtaining a higher yield from the differential between its acquisition and selling price.<div/>
Arbitration,<div>A means of settling a controversy between two parties through the medium of an impartial third party whose decision on the controversy (if agreed upon) will be final and binding.<div/>
Assessment,"<div>The imposition of a tax, charge, or levy, usually according to established rates.<div/>"
Assignment,"<div>The transfer in writing of rights or interest in a bond, mortgage, lease, or other instrument.<div/>"
Assumed name statute,"<div>The law, in effect in most states, that stipulates that no person shall conduct a business under any name other than his or her own individual name, unless such person files the desired name with the county clerk in each county where the business is conducted. In the case of brokers and salespeople, statement of such filing should be submitted to the state’s real estate commission.<div/>"
Assumption of mortgage,"<div>The transfer of title to property to a grantee, by which the grantee assumes liability for payment of an existing note secured by a mortgage against the property. Should the mortgage be foreclosed and the property sold for a lesser amount than that due, the grantee/purchaser who has assumed and agreed to pay the debt secured by the mortgage is personally liable for the deficiency. Before a seller may be relieved of liability under the existing mortgage, the lender must accept the transfer of liability for payment of the note.<div/>"
Attorney-in-fact,<div>The holder of a power of attorney.<div/>
Attorney’s opinion of title,"<div>An instrument written and signed by the attorney who examines the title, stating her or his opinion as to whether a seller may convey good title.<div/>"
Avulsion,"<div>A sudden tearing away of land by the action of natural forces.
Real estate terms that begin with B<div/>"
Balloon payment,"<div>The final payment of a mortgage loan that is considerably larger than the required periodic payments, because the loan amount was not fully amortized.<div/>"
Bargain and sale deed,<div>A deed that carries with it no warranties against liens or other encumbrances but that does imply the grantor has the right to convey title. The grantor may add warranties to the deed at his or her discretion.<div/>
Base fee,<div>A determinable fee estate that may be inherited.<div/>
Base line,<div>One of a set of imaginary lines running east and west and crossing a principal meridian at a definite point. Base lines are used by surveyors for reference in locating and describing land under the rectangular survey system (or government survey method) of property description.<div/>
Benchmark,<div>A permanent reference mark or point established for use by surveyors when measuring differences in elevation.<div/>
Beneficiary,<div>The person for whom a trust operates or in whose behalf the income from a trust estate is drawn. 2. A lender who lends money of real estate and takes back a note and deed of trust from the borrower.<div/>
Bequest,<div>A provision in a will providing for the distribution of personal property.<div/>
Bilateral contract,<div>A contract in which each party promises to perform an act in exchange for the other party’s promise to perform.<div/>
Bill of sale,<div>A written instrument given to pass title to personal property.<div/>
Binder,<div>An agreement that may accompany an earnest money deposit for the purchase of real property as evidence of the purchaser’s good faith and intent to complete the transaction.<div/>
Blanket mortgage,<div>A mortgage that covers more than one parcel of real estate and provides for each parcel’s partial release from the mortgage lien on repayment of a definite portion of the debt.<div/>
Blockbusting,"<div>The illegal practice of inducing homeowners to sell their properties by making representations regarding the entry, or prospective entry, of minority persons into the neighborhood.<div/>"
Blue-sky laws,<div>The common name for state and federal laws that regulate the registration and sale of investment securities.<div/>
Boycotting,<div>Two or more businesses conspire against other businesses to reduce competition.<div/>
Branch office,"<div>A secondary place of business apart from the principal or main office from which real estate business is conducted. A branch office generally must be run by a licensed real estate broker, broker salesperson, or associate broker working on behalf of the broker operating the principal office.<div/>"
Breach of contract,"<div>The failure, without legal excuse, of one of the parties to a contract to perform according to the contract.<div/>"
Bridge loan,<div>A loan that bridges the sale of property.<div/>
Broker,<div>One who buys and sells for another for a commission.<div/>
Brokerage,<div>The business of buying and selling for another for a commission.<div/>
Broker/Salesperson,"<div>A person who has passed the broker’s licensing examination but it is licensed to work only on behalf of a licensed broker and who may be allowed to manage an office. In many states, known as (and licensed as) associate broker or broker/associate.<div/>"
Brownfields,"<div>Deserted, defunct, and derelict toxic industrial sites in need of renewal. Federal legislation has diminished the innocent landowner’s liability exposure and provided the landowner the opportunity to expense cleanup costs rather than capitalize them.<div/>"
Budget loan,"<div>A loan in which the monthly payments made by the borrower cover not only interest and a payment on the principal, but also 1⁄12 of such expenses as taxes, insurance assessments, private mortgage insurance premiums, and similar charges.<div/>"
Buffer zone,<div>A strip of land that separates one land use from another.<div/>
Building code,<div>An ordinance specifying minimum standards of construction of buildings for the protection of public safety and health.<div/>
Building line,"<div>A line fixed at a certain distance from the front and/or sides of a lot beyond which no structure can project; a setback line used to ensure a degree of uniformity in the appearance of buildings and unobstructed light, air, and view.<div/>"
Building restrictions,<div>The limitations on the size or type of property improvements established by zoning acts or by deed or lease restrictions. Building restrictions are considered encumbrances and violations render the title unmarketable.<div/>
Bundle of legal rights,"<div>The theory that land ownership involves ownership of all legal rights to the land, such as possession, control within the law, and enjoyment, rather than ownership of the land itself.<div/>"
Business plan,<div>A three to five year blueprint for an organization or individual real estate practitioner.<div/>
Buydown,"<div>A payment made, often by the seller, to help the buyer qualify for the loan.
Real estate terms that begin with C<div/>"
Canvassing,"<div>The practice of making telephone calls or visiting from door to door to seek prospective buyers or sellers; in the real estate business, generally associated with acquired listings in a given area.<div/>"
Capacity of parties,<div>The legal ability of persons to enter into a valid contract. Most persons have fully capacity to contract and are said to be competent parties.<div/>
Capital gain,<div>Profit earned from the sale of an asset.<div/>
Capital investment,<div>The initial capital and the long-term expenditures made to establish and maintain a business or investment property.<div/>
Capitalization,"<div>The process of converting into present value (or obtaining the present worth of) a series of anticipated future periodic installments of net income. In real estate appraisal, it usually takes the form of discounting. The formula is Income/Rate = Value<div/>"
Capitalization rate,<div>The rate of return a property will produce on the owner’s investment.<div/>
Cash flow,"<div>The net spendable income from an investment, determined by deducting all operating and fixed expenses from the gross income. If expenses exceed income, a negative cash flow is the result.<div/>"
Casualty insurance,"<div>A type of insurance policy that protects a property owner or other person from loss or injury sustained as a result of theft, vandalism, or similar occurrences.<div/>"
Certificate of sale,"<div>The document generally given to a purchaser at a tax foreclosure sale. A certificate of sale does not convey title; generally, it is an instrument certifying that the holder may receive title to the property after the redemption period has passed and that the holder paid the property taxes for that interim period.<div/>"
Certificate of title,"<div>The statement of opinion on the status of the title to a parcel of real property, based on an examination of specified public records.<div/>"
Chain of title,<div>The succession of conveyances from some accepted starting point by which the present holder of real property dervies his or her title.<div/>
Charrettes,<div>Community planning tool that welcomes and improves public participation in discussions about a community’s future growth and development.<div/>
Chattels,<div>Personal property.<div/>
Check,"<div>Tracts of land located repetitively every 24 miles from a principal meridian and 24 miles from a defined base line. Guide meridians and correction lines define a check;s boundaries, consisting of 16 townships. A correction line “corrects” for the curvature of the earth, and guide meridians slant to compensate for North Pole directional movement.<div/>"
City planning commission,<div>A local government organization designed to direct and control the development of land within a municipality.<div/>
Claim of right,<div>Used as a factor in determining adverse possession claims. Adversely occupying another’s real estate for a statutory period of time may create a claim of right.<div/>
Cloud on title,<div>A claim or encumbrance that may affect the title to land.<div/>
CLUE,<div>An insurance company repository for reported claim activity and previous property damage. CLUE is an acronym for Comprehensive Loss Underwriting Exchange. Insurers use the report to ascertain patterns of possible future claims and adjust their insurance premiums according to risk.<div/>
Codicil,"<div>A testamentary disposition subsequent to a will that alters, explains, adds to, or confirms the will, but does not revoke it.<div/>"
Coinsurance clause,<div>A clause in insurance policies covering real property that requires the policyholder to maintain fire insurance coverage that is generally equal to at least 80% of the property’s actual replacement cost.<div/>
Collateral,<div>Something of value given or pledged to a lender as a security for a debt or obligation.<div/>
Color of title,<div>Used as factor in an adverse possession claim when the occupying party actually received title but by a defective or incorrect deed (color of title).<div/>
Commercial property,"<div>A classification of real estate that includes income-producing property, such as office buildings, restaurants, shopping centers, hotels, and stores.<div/>"
Commingled property,<div>Property of a married couple that is so mixed or commingled that it is difficult to determine whether it is separate of community property. Commingled property becomes community property.<div/>
Commingling,<div>The illegal act of a real estate broker who mixes the money of other people with that of his or her own; brokers are required by law to maintain a separate trust account for other parties’ funds held temporarily by the broker.<div/>
Commission,"<div>The payment made to a broker for services rendered, such as in the sale or purchase of real property; this is usually a percentage of the selling price of the property.<div/>"
Common elements,"<div>The parts of a property that are necessary or convenient to the existence, maintenance, and safety of a condominium, or that are normally in common use by all of the condominium residents. All condominium owners have an undivided ownership interest in the common elements.<div/>"
Common law,"<div>A body of law based on custom, usage, and court decisions.<div/>"
Community property,<div>A system of property ownership based on the theory that each spouse has an equal interest in the property acquired by the efforts of either spouse during marriage.<div/>
Comparables,"<div>The sold properties, listed in an appraisal report, which are substantially equivalent to the subect property.<div/>"
Competent parties,<div>Persons who are recognized by law as being able to contract with others; usually those of legal age and sound mind.<div/>
Composite depreciation,<div>A method of determining the depreciation of a multi-building property using the average rate at which all the buildings are depreciating.<div/>
"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA)",<div>Federal legislation passed in 1980 requiring owners of contaminated properties to bear the cleanup costs.<div/>
Condemnation,<div>A judicial or administrative proceeding or process to exercise the power of eminent domain.<div/>
Condominium,"<div>The absolute ownership of an apartment or a unit, generally in a multi-unit building, based on a legal description of the airspace the unit actually occupies, plus an undivided interest in the ownership of the common elements, which are owned together with the other condominium unit owners. The entire tract of real estate included in a condominium development is called a parcel or development parcel. One apartment or space in a condominium or part of a property intended for independent use and having lawful access to the public way is called a unit. Ownership of one unit also includes a definite undivided interest in the common elements.<div/>"
Conforming mortgages,<div>Securitized mortgages sold on the secondary market that meet certain requirements established by Fannie Mae and Freddie Mac.<div/>
Consideration,"<div>Something of value that induces one to enter into a contract. Consideration may be “valuable” (money or commodity) or “good” (love and affection”). Also, an act of forbearance, or the promise thereof, given by one party in exchange for something from the other. Forbearance is a promise not to do something.<div/>"
Constructive eviction,<div>Acts by the landlord that so materially disturb or impair the tenant’s enjoyment of the leased premises that the tenant is effectively forced to move out and terminate the lease without liability for any further rent. 2. A purchaser’s inability to obtain clear title.<div/>
Constructive notice,"<div>Notice given to the world by recorded documents. All persons are charged with knowledge of such documents and their contents, whether or not they have actually examined them. Possession of property also is considered constructive notice that the person in possession has an interest in the property.<div/>"
Contingencies,<div>A provision or condition in the purchase of real estate requiring a certain act to be done or an event to happen before the contract becomes binding.<div/>
Contract,"<div>An agreement entered into by two or more legally competent by the terms of which one or more of the parties, for a consideration, undertakes to do or to refrain from doing some legal act or acts. A contract may be either unilateral (where only one party is bound to act) or bilateral (where all parties to the instrument are legally bound to act as prescribed).<div/>"
Contract for deed,"<div>A contract for the sale of real estate under which the sale price is paid in periodic installments by the purchaser, who is in possession and holds equitable title, although actual title is retained by the seller until final payment.<div/>"
Contract for exchange of real estate,<div>A contract for sale of real estate in which the consideration is paid wholly or partly in property.<div/>
